ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7661933,HS466922,08/10/2010 08:00:00 AM,044XX N CENTRAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1622,16.0,38.0,15.0,08B,1138202.0,1929154.0,2010,02/10/2018 03:50:01 PM,41.961733346,-87.76728341399999,"(41.961733346, -87.767283414)"
8972218,HW119772,01/16/2013 03:45:00 PM,062XX S PARK SHORE EAST CT,0560,ASSAULT,SIMPLE,NURSING HOME/RETIREMENT HOME,False,False,314,3.0,5.0,42.0,08A,1187570.0,1863935.0,2013,02/10/2018 03:50:01 PM,41.781731648000004,-87.58786288600001,"(41.781731648, -87.587862886)"
8312588,HT547067,10/17/2011 01:05:00 PM,002XX W MONROE ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,112,1.0,2.0,32.0,08B,1174585.0,1899875.0,2011,02/04/2016 06:33:39 AM,41.880653112,-87.634396649,"(41.880653112, -87.634396649)"
7212347,HR616298,10/01/2009 05:00:00 PM,073XX S PRAIRIE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,323,3.0,6.0,69.0,26,1179311.0,1856365.0,2009,02/28/2018 03:56:25 PM,41.761151275,-87.61837280799999,"(41.761151275, -87.618372808)"
3365580,HK405184,06/02/2004 10:45:00 AM,035XX W VAN BUREN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1133,11.0,28.0,27.0,08B,1152925.0,1897799.0,2004,02/28/2018 03:56:25 PM,41.875412863,-87.71398542799999,"(41.875412863, -87.713985428)"
7516612,HS319460,05/21/2010 06:29:00 PM,057XX N WAYNE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,True,False,2013,20.0,48.0,77.0,18,1166438.0,1938145.0,2010,02/10/2018 03:50:01 PM,41.985846174,-87.66321318600001,"(41.985846174, -87.663213186)"
4300209,HL534542,08/07/2005 06:50:00 PM,047XX W GLADYS AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1131,11.0,24.0,25.0,18,1144838.0,1897935.0,2005,02/10/2018 03:50:01 PM,41.875942357,-87.743674625,"(41.875942357, -87.743674625)"
8624001,HV297560,05/11/2012 01:52:00 PM,085XX S STONY ISLAND AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,ATM (AUTOMATIC TELLER MACHINE),False,False,412,4.0,8.0,45.0,11,1188285.0,1848852.0,2012,02/04/2016 06:33:39 AM,41.740325519,-87.58572214700001,"(41.740325519, -87.585722147)"
6177638,HP264915,04/06/2008 02:50:00 PM,125XX S LA SALLE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,523,5.0,9.0,53.0,14,1177544.0,1821963.0,2008,02/28/2018 03:56:25 PM,41.666787643,-87.625884919,"(41.666787643, -87.625884919)"
1778259,G596636,10/04/2001 09:59:35 PM,109XX S WESTERN AV,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,False,2212,22.0,,,06,1162375.0,1832143.0,2001,08/17/2015 03:03:40 PM,41.695051725999996,-87.68111722200001,"(41.695051726, -87.681117222)"
5203271,HM793059,12/25/2006 01:04:59 AM,048XX S WOOD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,931,9.0,20.0,61.0,08B,1165166.0,1872536.0,2006,02/28/2018 03:56:25 PM,41.805837481,-87.669757852,"(41.805837481, -87.669757852)"
9765254,HX415111,09/03/2014 11:30:00 AM,020XX W HURON ST,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,False,False,1221,12.0,1.0,24.0,06,1162588.0,1904671.0,2014,02/10/2018 03:50:01 PM,41.89407339,-87.67831401,"(41.89407339, -87.67831401)"
8397922,HT630389,12/13/2011 02:43:00 PM,0000X N CALIFORNIA AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,False,False,1331,12.0,2.0,27.0,04A,1157727.0,1899982.0,2011,02/10/2018 03:50:01 PM,41.881306788,-87.69629478899999,"(41.881306788, -87.696294789)"
11170440,JA539201,12/06/2017 03:30:00 PM,052XX W OHIO ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,False,True,1524,15.0,28.0,25.0,04B,1141495.0,1903470.0,2017,02/10/2018 03:50:01 PM,41.891193453,-87.75581232399999,"(41.891193453, -87.755812324)"
6595487,HP653350,10/28/2008 10:20:00 PM,009XX E 104TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,APARTMENT,False,False,512,5.0,9.0,50.0,26,1184238.0,1836191.0,2008,02/28/2018 03:56:25 PM,41.705677781999995,-87.600944364,"(41.705677782, -87.600944364)"
9570434,HX220941,04/12/2014 01:35:00 PM,037XX S HALSTED ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,False,False,915,9.0,11.0,60.0,26,1171572.0,1880480.0,2014,02/10/2018 03:50:01 PM,41.827498476,-87.64603007,"(41.827498476, -87.64603007)"
1325496,G001209,01/01/2001 02:30:00 PM,062XX S KING DR,2027,NARCOTICS,POSS: CRACK,RESIDENCE PORCH/HALLWAY,True,False,312,3.0,,,18,1179958.0,1863504.0,2001,08/17/2015 03:03:40 PM,41.780726643,-87.61578323200001,"(41.780726643, -87.615783232)"
10359283,HY550451,12/25/2015 05:30:00 AM,066XX S CHAMPLAIN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,321,3.0,20.0,42.0,06,1181709.0,1861100.0,2015,01/01/2016 03:54:40 PM,41.774089562,-87.60943799200001,"(41.774089562, -87.609437992)"
2371515,HH653655,09/17/2002 10:57:25 AM,060XX S CALIFORNIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,False,False,823,8.0,15.0,66.0,14,1158749.0,1864379.0,2002,02/28/2018 03:56:25 PM,41.783587113,-87.693515763,"(41.783587113, -87.693515763)"
11316322,JB264875,05/15/2018 05:25:00 PM,056XX S RUSSELL DR,031A,ROBBERY,ARMED: HANDGUN,PARK PROPERTY,False,False,233,2.0,20.0,40.0,03,1180522.0,1867758.0,2018,05/22/2018 04:12:16 PM,41.792387084,-87.613584965,"(41.792387084, -87.613584965)"
5601158,HN410414,06/17/2007 02:45:00 AM,015XX N DAMEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,True,True,1424,14.0,1.0,24.0,08B,1162795.0,1909913.0,2007,02/28/2018 03:56:25 PM,41.908453495,-87.677406565,"(41.908453495, -87.677406565)"
