ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
1853020,G689455,11/15/2001 10:30:00 AM,009XX N HUDSON AV,1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,False,False,1823,18.0,,,14,1173032.0,1906962.0,2001,08/17/2015 03:03:40 PM,41.900134826,-87.639888773,"(41.900134826, -87.639888773)"
4579584,HM170070,02/07/2006 07:50:00 AM,049XX S WESTERN AVE,0820,THEFT,$500 AND UNDER,CTA GARAGE / OTHER PROPERTY,False,False,915,9.0,16.0,63.0,06,1161206.0,1871767.0,2006,02/28/2018 03:56:25 PM,41.803810229,-87.68430298700001,"(41.803810229, -87.684302987)"
4109470,HL289971,04/12/2005 08:30:00 AM,019XX E 79TH ST,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,False,False,414,4.0,8.0,43.0,06,1190726.0,1852981.0,2005,02/28/2018 03:56:25 PM,41.751597328,-87.576645714,"(41.751597328, -87.576645714)"
8119035,HT354124,06/18/2011 05:35:00 PM,061XX S ST LAWRENCE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,True,False,313,3.0,20.0,42.0,08A,1181291.0,1864449.0,2011,02/10/2018 03:50:01 PM,41.783289184000004,-87.610867142,"(41.783289184, -87.610867142)"
2535706,HJ115507,01/09/2003 12:45:00 AM,125XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,532,5.0,9.0,53.0,08B,1179151.0,1821317.0,2003,02/28/2018 03:56:25 PM,41.664978568,-87.620023367,"(41.664978568, -87.620023367)"
6824241,HR232755,03/24/2009 02:05:00 PM,010XX W 18TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1233,12.0,25.0,31.0,18,1169618.0,1891581.0,2009,02/28/2018 03:56:25 PM,41.858003290999996,-87.65287632100001,"(41.858003291, -87.652876321)"
2822932,HJ482288,07/08/2003 10:00:00 PM,027XX W 59TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,824,8.0,16.0,63.0,06,1158917.0,1865413.0,2003,02/28/2018 03:56:25 PM,41.786421121,-87.692871574,"(41.786421121, -87.692871574)"
2540792,HJ122558,01/12/2003 09:35:00 PM,062XX N OAKLEY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,2413,24.0,50.0,2.0,26,1159855.0,1941341.0,2003,02/10/2018 03:50:01 PM,41.994754903,-87.68733645799999,"(41.994754903, -87.687336458)"
4963215,HM575497,07/24/2006 09:00:00 AM,070XX S WESTERN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,False,False,832,8.0,17.0,66.0,11,1161594.0,1857846.0,2006,02/28/2018 03:56:25 PM,41.765601084000004,-87.68326599,"(41.765601084, -87.68326599)"
5806343,HN461763,07/12/2007 12:30:00 PM,040XX W 59TH ST,2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,SMALL RETAIL STORE,True,False,813,8.0,13.0,62.0,18,1150629.0,1865174.0,2007,02/28/2018 03:56:25 PM,41.785930664,-87.723266186,"(41.785930664, -87.723266186)"
